Date,Open,High,Low,Close,Adj Close,Volume
2020-10-06,6860.100098,6975.399902,6838.799805,6936.200195,6936.200195,265233500
2020-10-07,6920.200195,6952.600098,6887.100098,6910.100098,6910.100098,207416200
2020-10-08,6953.200195,7018.799805,6951.700195,6992.799805,6992.799805,202093000
2020-10-09,6992.899902,7024.600098,6936.700195,6950.899902,6950.899902,182746300
2020-10-12,6968.799805,6979.899902,6924.799805,6951.000000,6951.000000,167258200
2020-10-13,6945.200195,6960.600098,6854.600098,6875.200195,6875.200195,205874300
2020-10-14,6880.399902,6946.799805,6846.500000,6916.600098,6916.600098,178694400
2020-10-15,6840.200195,6842.299805,6763.000000,6816.799805,6816.799805,237247000
2020-10-16,6851.899902,6877.000000,6784.600098,6849.700195,6849.700195,234162000
2020-10-19,6882.100098,6932.799805,6816.399902,6860.200195,6860.200195,173622600
2020-10-20,6834.799805,6972.100098,6826.700195,6927.299805,6927.299805,221477800
2020-10-21,6961.500000,6962.200195,6806.100098,6811.500000,6811.500000,207333200
2020-10-22,6775.200195,6839.500000,6709.299805,6796.600098,6796.600098,212045300
2020-10-23,6802.100098,6902.000000,6791.899902,6893.399902,6893.399902,221927800
2020-10-26,6797.899902,6904.200195,6789.700195,6796.899902,6796.899902,195991200
2020-10-27,6845.200195,6846.700195,6647.000000,6651.299805,6651.299805,273169200
2020-10-28,6560.799805,6563.799805,6423.299805,6474.399902,6474.399902,323758000
2020-10-29,6467.700195,6514.000000,6329.500000,6411.799805,6411.799805,298195700
2020-10-30,6351.399902,6461.600098,6345.299805,6452.200195,6452.200195,260708300
2020-11-02,6481.399902,6590.700195,6396.299805,6585.600098,6585.600098,222245200
2020-11-03,6636.100098,6760.799805,6608.700195,6751.600098,6751.600098,281852500
2020-11-04,6616.700195,6790.799805,6563.700195,6781.899902,6781.899902,274816200
2020-11-05,6833.500000,6948.299805,6814.200195,6924.200195,6924.200195,255824700
2020-11-06,6890.600098,6940.399902,6829.399902,6870.399902,6870.399902,206308100
2020-11-09,6972.299805,7535.299805,6945.799805,7459.399902,7459.399902,751200600
2020-11-10,7447.100098,7720.299805,7439.500000,7711.399902,7711.399902,705610500
2020-11-11,7733.799805,7804.600098,7675.799805,7793.700195,7793.700195,401246900
2020-11-12,7721.700195,7773.299805,7688.000000,7726.000000,7726.000000,309657400
2020-11-13,7698.600098,7823.100098,7686.200195,7783.700195,7783.700195,297808600
2020-11-16,7905.899902,8102.399902,7879.000000,7986.200195,7986.200195,601880600
2020-11-17,7979.000000,7979.000000,7835.799805,7934.299805,7934.299805,428970100
2020-11-18,7914.100098,7994.299805,7888.700195,7981.500000,7981.500000,296385800
2020-11-19,7907.200195,7978.799805,7863.899902,7930.200195,7930.200195,261607300
2020-11-20,7938.799805,8001.100098,7920.000000,7977.899902,7977.899902,232651500
2020-11-23,8029.100098,8067.299805,7972.200195,7981.200195,7981.200195,278313000
2020-11-24,8052.399902,8143.200195,8045.299805,8143.200195,8143.200195,351639600
2020-11-25,8172.399902,8199.900391,8084.399902,8164.700195,8164.700195,294450000
2020-11-26,8184.799805,8184.899902,8086.700195,8104.600098,8104.600098,218317400
