time	price	increase
12:55	189	1
13:30	190	1
14:03	191	1
19:58	195	4
19:58	196	1
19:58	197	1
19:58	198	1
19:59	201	3
19:59	204	3
19:59	210	6
19:59	213	3
19:59	214	1
20:00	219	5
20:00	220	1
20:00	223	3
20:01	225	2
20:03	230	5
